A01;338220954;GPU;ES;12/11/2015;19:52;12/11/2015;19:53;;;
A02;338487279;GPU;OR;12/11/2015;14:29;12/11/2015;14:31;12/11/2015;14:41;TDX-M1
A05;338237284;GPU;OR;04/11/2015;08:37;04/11/2015;08:40;04/11/2015;10:48;TDX-M6
B00;338216292;SANS;OR;09/11/2015;16:25;09/11/2015;16:29;11/11/2015;09:12;TDX-P3
B06;338235338;EGC;ES;11/11/2015;10:56;11/11/2015;10:57;;;
B07;338214104;PRO;AA;12/11/2015;14:42;12/11/2015;15:45;12/11/2015;17:29;TDX-M2
B08;338215264;GPU;OR;10/11/2015;17:07;10/11/2015;17:11;11/11/2015;10:32;TDX-P3 
B18;338224145;GPU;ES;12/11/2015;18:38;12/11/2015;18:39;;;
B20;338226392;SANS;ES;12/11/2015;18:26;12/11/2015;18:29;;;TDX-P3
B21;338215167;GPU;OR;11/11/2015;14:21;11/11/2015;14:22;12/11/2015;10:50;TDX-10
B21;338212566;GPU;OR;12/11/2015;12:47;12/11/2015;12:48;12/11/2015;13:00;TDX-M8
B21;338269971;TLC;ES;12/11/2015;17:28;12/11/2015;17:32;;;
B23;338220497;SANS;OR;09/11/2015;17:54;09/11/2015;17:56;10/11/2015;08:03;TDX-M9
B26;338218849;GPU;OR;29/10/2015;12:09;09/11/2015;13:26;09/11/2015;13:57;TDX-P5
B26;338212242;GPU;ES;12/11/2015;16:25;12/11/2015;21:26;;;
B27;338488137;GPU;ES;12/11/2015;14:42;12/11/2015;14:44;;;
B28;338220218;SANS;ES;12/11/2015;20:49;12/11/2015;20:50;;;
B29;338218830;GPU;OR;10/11/2015;18:10;10/11/2015;18:13;11/11/2015;14:21;TDX-M8
B32;338217797;GPU;OR;12/11/2015;12:33;12/11/2015;12:40;12/11/2015;12:59;TDX-M8
D07;338320602;SANS;OR;11/11/2015;08:53;11/11/2015;08:56;11/11/2015;09:11;TDX-M27
D14;338323611;GPU;ES;12/11/2015;19:19;12/11/2015;19:22;;;
D14;338324730;GPU;ES;12/11/2015;17:56;12/11/2015;17:58;;;
D14;338482276;GPU;ES;12/11/2015;16:33;12/11/2015;16:34;;;
D16;338325750;AP;AA;11/11/2015;14:02;11/11/2015;15:37;12/11/2015;09:03;TDX-M9
D16;338329093;GPU;AA;12/11/2015;08:45;12/11/2015;08:53;12/11/2015;09:39;TDX-M3
D16;338322290;GPU;ES;12/11/2015;17:54;12/11/2015;18:01;;;
Y02;338322434;SANS;ES;04/11/2015;20:07;12/11/2015;15:29;;;
Y03;338322691;GPU;ES;12/11/2015;20:38;12/11/2015;20:39;;;
